year,batter,total_runs,balls_faced,total_boundaries,dot_balls,sum_runs_sq,matches,mean_runs,consistency_index,strike_rate,boundary_percent,dot_ball_percent,scouting_score,player_role
2016,HH Pandya,45,45,3,17,1377,2,22.5,1.6666666666666667,100.0,6.666666666666667,37.77777777777778,35.88888888888889,Balanced Player
2016,FY Fazal,55,65,8,40,3025,1,55.0,0.0,84.61538461538461,12.307692307692308,61.53846153846154,35.230769230769226,Struggling Batter
2017,MK Pandey,33,31,1,6,909,2,16.5,1.2222222222222223,106.4516129032258,3.225806451612903,19.35483870967742,33.44444444444445,Balanced Player
2017,KK Nair,54,103,6,72,1230,3,18.0,1.9409899176618914,52.42718446601942,5.825242718446602,69.90291262135922,26.648392158289663,Struggling Batter
2016,DS Kulkarni,26,31,3,17,626,2,13.0,1.0833333333333333,83.87096774193549,9.67741935483871,54.83870967741935,23.842473118279575,Balanced Player
2016,B Kumar,37,89,6,73,865,3,12.333333333333334,1.0567116342584488,41.57303370786517,6.741573033707865,82.02247191011236,16.472016484155063,Struggling Batter
2017,UT Yadav,23,64,2,47,277,4,5.75,0.9558473801618901,35.9375,3.125,73.4375,9.859919476032381,Struggling Batter
2017,A Mukund,16,40,2,33,256,1,16.0,0.0,40.0,5.0,82.5,7.15,Struggling Batter
2017,J Yadav,7,27,1,24,49,1,7.0,0.0,25.925925925925924,3.7037037037037033,88.88888888888889,-0.16296296296296298,Struggling Batter
2017,I Sharma,8,40,1,35,40,3,2.6666666666666665,1.0690449676496974,20.0,2.5,87.5,-0.8361910064700604,Struggling Batter
